Date : 2024-09-05 15:51:14
Directory : /Users/canson/Documents/GitHub/nexus/legacy
Total : 174 files,  13385 codes, 23 comments, 3541 blanks, all 16949 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend/src/features/auth/serializer                                                                                              |          3 |         28 |          2 |          8 |         38 |
| backend/src/features/auth/strategies                                                                                              |          2 |         28 |          0 |          7 |         35 |
| backend/src/features/otp                                                                                                          |         15 |        184 |          0 |         41 |        225 |
| backend/src/features/otp (Files)                                                                                                  |          1 |         20 |          0 |          2 |         22 |
| backend/src/features/otp/controllers                                                                                              |          2 |         26 |          0 |          5 |         31 |
| backend/src/features/otp/cqrs                                                                                                     |          5 |         68 |          0 |         16 |         84 |
| backend/src/features/otp/cqrs (Files)                                                                                             |          1 |          4 |          0 |          1 |          5 |
| backend/src/features/otp/cqrs/generate-otp                                                                                        |          2 |         36 |          0 |          9 |         45 |
| backend/src/features/otp/cqrs/generate-otp/command                                                                                |          1 |          3 |          0 |          1 |          4 |
| backend/src/features/otp/cqrs/generate-otp/handler                                                                                |          1 |         33 |          0 |          8 |         41 |
| backend/src/features/otp/cqrs/verify-otp                                                                                          |          2 |         28 |          0 |          6 |         34 |
| backend/src/features/otp/cqrs/verify-otp/command                                                                                  |          1 |          6 |          0 |          1 |          7 |
| backend/src/features/otp/cqrs/verify-otp/handler                                                                                  |          1 |         22 |          0 |          5 |         27 |
| backend/src/features/otp/dto                                                                                                      |          3 |         16 |          0 |          6 |         22 |
| backend/src/features/otp/repositories                                                                                             |          2 |         20 |          0 |          5 |         25 |
| backend/src/features/otp/schemas                                                                                                  |          2 |         34 |          0 |          7 |         41 |
| backend/src/features/user                                                                                                         |         56 |      1,218 |          9 |        245 |      1,472 |
| backend/src/features/user (Files)                                                                                                 |          1 |         27 |          0 |          2 |         29 |
| backend/src/features/user/controllers                                                                                             |          5 |        263 |          1 |         24 |        288 |
| backend/src/features/user/cqrs                                                                                                    |         30 |        512 |          0 |        133 |        645 |
| backend/src/features/user/cqrs (Files)                                                                                            |          2 |         53 |          0 |          3 |         56 |
| backend/src/features/user/cqrs/account                                                                                            |         10 |        162 |          0 |         40 |        202 |
| backend/src/features/user/cqrs/account/command                                                                                    |          5 |         32 |          0 |          9 |         41 |
| backend/src/features/user/cqrs/account/handler                                                                                    |          5 |        130 |          0 |         31 |        161 |
| backend/src/features/user/cqrs/follow                                                                                             |          6 |         91 |          0 |         28 |        119 |
| backend/src/features/user/cqrs/follow/command                                                                                     |          3 |         21 |          0 |          6 |         27 |
| backend/src/features/user/cqrs/follow/handler                                                                                     |          3 |         70 |          0 |         22 |         92 |
| backend/src/features/user/cqrs/photo                                                                                              |          2 |         28 |          0 |          6 |         34 |
| backend/src/features/user/cqrs/photo/command                                                                                      |          1 |          6 |          0 |          1 |          7 |
| backend/src/features/user/cqrs/photo/handler                                                                                      |          1 |         22 |          0 |          5 |         27 |
| backend/src/features/user/cqrs/tweets                                                                                             |         10 |        178 |          0 |         56 |        234 |
| backend/src/features/user/cqrs/tweets/command                                                                                     |          5 |         37 |          0 |         10 |         47 |
| backend/src/features/user/cqrs/tweets/handler                                                                                     |          5 |        141 |          0 |         46 |        187 |
| backend/src/features/user/dto                                                                                                     |          5 |         58 |          0 |         14 |         72 |
| backend/src/features/user/enum                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| backend/src/features/user/pipes                                                                                                   |          3 |         23 |          0 |          5 |         28 |
| backend/src/features/user/repositories                                                                                            |          4 |         93 |          0 |         17 |        110 |
| backend/src/features/user/schemas                                                                                                 |          4 |        213 |          8 |         41 |        262 |
| backend/src/features/user/validators                                                                                              |          3 |         24 |          0 |          8 |         32 |
| backend/src/features/user/validators (Files)                                                                                      |          1 |         20 |          0 |          6 |         26 |
| backend/src/features/user/validators/interfaces                                                                                   |          2 |          4 |          0 |          2 |          6 |
| backend/src/modules                                                                                                               |         15 |        175 |          4 |         40 |        219 |
| backend/src/modules/bull                                                                                                          |          2 |         27 |          0 |          5 |         32 |
| backend/src/modules/cloudinary                                                                                                    |          4 |         48 |          1 |         10 |         59 |
| backend/src/modules/cloudinary (Files)                                                                                            |          2 |          9 |          1 |          4 |         14 |
| backend/src/modules/cloudinary/services                                                                                           |          2 |         39 |          0 |          6 |         45 |
| backend/src/modules/email                                                                                                         |          7 |         83 |          3 |         21 |        107 |
| backend/src/modules/email (Files)                                                                                                 |          1 |          9 |          0 |          2 |         11 |
| backend/src/modules/email/services                                                                                                |          3 |         69 |          3 |         14 |         86 |
| backend/src/modules/email/types                                                                                                   |          3 |          5 |          0 |          5 |         10 |
| backend/src/modules/throttler                                                                                                     |          2 |         17 |          0 |          4 |         21 |
| frontend                                                                                                                          |         24 |      3,560 |          5 |        948 |      4,513 |
| frontend (Files)                                                                                                                  |         11 |      2,913 |          3 |        825 |      3,741 |
| frontend/src                                                                                                                      |         13 |        647 |          2 |        123 |        772 |
| frontend/src (Files)                                                                                                              |          2 |         21 |          0 |         11 |         32 |
| frontend/src/assets                                                                                                               |          3 |        102 |          2 |         21 |        125 |
| frontend/src/plugins                                                                                                              |          1 |         11 |          0 |          3 |         14 |
| frontend/src/router                                                                                                               |          2 |         33 |          0 |          3 |         36 |
| frontend/src/types                                                                                                                |          1 |          6 |          0 |          2 |          8 |
| frontend/src/views                                                                                                                |          4 |        474 |          0 |         83 |        557 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/canson/Documents/GitHub/nexus/legacy/.VSCodeCounter/2024-09-01_00-46-08/details.md                                         | Markdown           |        146 |          0 |          6 |        152 |
| /Users/canson/Documents/GitHub/nexus/legacy/.VSCodeCounter/2024-09-01_00-46-08/diff-details.md                                    | Markdown           |          9 |          0 |          6 |         15 |
| /Users/canson/Documents/GitHub/nexus/legacy/.VSCodeCounter/2024-09-01_00-46-08/diff.md                                            | Markdown           |         12 |          0 |          7 |         19 |
| /Users/canson/Documents/GitHub/nexus/legacy/.VSCodeCounter/2024-09-01_00-46-08/results.json                                       | JSON               |          1 |          0 |          0 |          1 |
| /Users/canson/Documents/GitHub/nexus/legacy/.VSCodeCounter/2024-09-01_00-46-08/results.md                                         | Markdown           |        107 |          0 |          7 |        114 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/.eslintrc.js                                                                  | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/.prettierrc                                                                   | JSON               |          5 |          0 |          1 |          6 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/README.md                                                                     | Markdown           |          1 |          0 |          1 |          2 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/nest-cli.json                                                                 | JSON               |         17 |          0 |          1 |         18 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/package.json                                                                  | JSON               |        104 |          0 |          1 |        105 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/pnpm-lock.yaml                                                                | YAML               |      6,844 |          0 |      2,030 |      8,874 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/app.module.ts                                                             | TypeScript         |         47 |          0 |          2 |         49 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/contexts/authenticated.context.ts                                  | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/database/database.module.ts                                        | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/database/database.service.ts                                       | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/decorators/index.ts                                                | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/decorators/is-field-unique.decorator.ts                            | TypeScript         |         39 |          0 |          6 |         45 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/decorators/message.decorator.ts                                    | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/decorators/paginate.decorator.ts                                   | TypeScript         |         55 |          0 |         12 |         67 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/decorators/types/pagination.interface.ts                           | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/decorators/user.decorator.ts                                       | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/guards/authenticated.guard.ts                                      | TypeScript         |         23 |          0 |          7 |         30 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/guards/base.guard.ts                                               | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/guards/index.ts                                                    | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/guards/local-auth.guard.ts                                         | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/interfaces/payload.interface.ts                                    | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/pagination/dto/index.ts                                            | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/pagination/dto/page-meta.dto.ts                                    | TypeScript         |         24 |          0 |          8 |         32 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/pagination/dto/page-options.dto.ts                                 | TypeScript         |         33 |          0 |          5 |         38 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/pagination/dto/page.dto.ts                                         | TypeScript         |         14 |          0 |          4 |         18 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/pagination/enums/order.enum.ts                                     | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/common/pagination/interfaces/page-meta-dto-parameters.interface.ts        | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/config/config.ts                                                          | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/core/filters/http-exception.filter.ts                                     | TypeScript         |         25 |          0 |          5 |         30 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/core/interceptors/logging.interceptor.ts                                  | TypeScript         |         45 |          0 |         11 |         56 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/core/interceptors/transform.interceptor.ts                                | TypeScript         |         27 |          0 |          5 |         32 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/core/pipes/validation.pipe.ts                                             | TypeScript         |         32 |          0 |          6 |         38 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/core/repositories/base.repository.ts                                      | TypeScript         |         62 |          0 |         14 |         76 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/core/repositories/types/query.types.ts                                    | TypeScript         |         19 |          0 |          7 |         26 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/auth.module.ts                                              | TypeScript         |         38 |          0 |          2 |         40 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/controllers/auth.controller.ts                              | TypeScript         |         41 |          0 |          5 |         46 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/controllers/index.ts                                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/cqrs/index.ts                                               | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/cqrs/login/command/login-user.command.ts                    | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/cqrs/login/handler/login-user.handler.ts                    | TypeScript         |         35 |          1 |          9 |         45 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/cqrs/register/command/register-user.command.ts              | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/cqrs/register/handler/register-user.handler.ts              | TypeScript         |         37 |          0 |          7 |         44 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/cqrs/verify-account/command/verify-account.command.ts       | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/cqrs/verify-account/handler/verify-account.handler.ts       | TypeScript         |         24 |          0 |          4 |         28 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/dto/index.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/dto/login.dto.ts                                            | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/dto/register.dto.ts                                         | TypeScript         |         24 |          0 |          5 |         29 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/profiles/auth.profile.ts                                    | TypeScript         |         15 |          2 |          4 |         21 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/serializer/constants.ts                                     | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/serializer/session.d.ts                                     | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/serializer/session.serializer.ts                            | TypeScript         |         20 |          2 |          5 |         27 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/strategies/index.ts                                         | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/auth/strategies/local.strategy.ts                                | TypeScript         |         27 |          0 |          6 |         33 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/controllers/index.ts                                         | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/controllers/otp.controller.ts                                | TypeScript         |         25 |          0 |          4 |         29 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/cqrs/generate-otp/command/generate-otp.command.ts            | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/cqrs/generate-otp/handler/generate-otp.handler.ts            | TypeScript         |         33 |          0 |          8 |         41 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/cqrs/index.ts                                                | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/cqrs/verify-otp/command/verify-otp.command.ts                | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/cqrs/verify-otp/handler/verify-otp.handler.ts                | TypeScript         |         22 |          0 |          5 |         27 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/dto/index.ts                                                 | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/dto/otp.dto.ts                                               | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/dto/send-otp.dto.ts                                          | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/otp.module.ts                                                | TypeScript         |         20 |          0 |          2 |         22 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/repositories/index.ts                                        | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/repositories/otp.repository.ts                               | TypeScript         |         19 |          0 |          4 |         23 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/schemas/index.ts                                             | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/otp/schemas/otp.schema.ts                                        | TypeScript         |         33 |          0 |          6 |         39 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/routes.ts                                                        | TypeScript         |         17 |          0 |          2 |         19 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/controllers/follow.controller.ts                            | TypeScript         |         82 |          0 |          8 |         90 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/controllers/index.ts                                        | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/controllers/photo.controller.ts                             | TypeScript         |         44 |          0 |          4 |         48 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/controllers/post.controller.ts                              | TypeScript         |         85 |          1 |          7 |         93 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/controllers/user.controller.ts                              | TypeScript         |         48 |          0 |          4 |         52 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/command/accept-friend-request.command.ts       | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/command/reject-friend-request.command.ts       | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/command/send-friend-request.command.ts         | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/command/update-email.command.ts                | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/command/update-profile.command.ts              | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/handler/accept-friend-request.handler.ts       | TypeScript         |         32 |          0 |          9 |         41 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/handler/reject-friend-request.handler.ts       | TypeScript         |         21 |          0 |          6 |         27 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/handler/send-friend-request.handler.ts         | TypeScript         |         32 |          0 |          8 |         40 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/handler/update-email.handler.ts                | TypeScript         |         25 |          0 |          5 |         30 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/account/handler/update-profile.handler.ts              | TypeScript         |         20 |          0 |          3 |         23 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/all-handlers.ts                                        | TypeScript         |         31 |          0 |          2 |         33 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/follow/command/fetch-followers.command.ts              | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/follow/command/follow.command.ts                       | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/follow/command/unfollow.command.ts                     | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/follow/handler/fetch-followers.handler.ts              | TypeScript         |         30 |          0 |         10 |         40 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/follow/handler/follow.handler.ts                       | TypeScript         |         25 |          0 |          8 |         33 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/follow/handler/unfollow.handler.ts                     | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/index.ts                                               | TypeScript         |         22 |          0 |          1 |         23 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/photo/command/upload-photo.command.ts                  | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/photo/handler/upload-photo.handler.ts                  | TypeScript         |         22 |          0 |          5 |         27 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/command/create-tweet.command.ts                 | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/command/delete-tweet.command.ts                 | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/command/fetch-tweets.command.ts                 | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/command/like-tweet.command.ts                   | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/command/unlike-tweet.command.ts                 | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/handler/create-tweet.handler.ts                 | TypeScript         |         32 |          0 |         10 |         42 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/handler/delete-tweet.handler.ts                 | TypeScript         |         30 |          0 |         10 |         40 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/handler/fetch-tweets.handler.ts                 | TypeScript         |         37 |          0 |         10 |         47 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/handler/like-tweet.handler.ts                   | TypeScript         |         21 |          0 |          8 |         29 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/cqrs/tweets/handler/unlike-tweet.handler.ts                 | TypeScript         |         21 |          0 |          8 |         29 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/dto/create-post.dto.ts                                      | TypeScript         |         11 |          0 |          3 |         14 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/dto/delete-post.dto.ts                                      | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/dto/index.ts                                                | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/dto/update-email.dto.ts                                     | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/canson/Documents/GitHub/nexus/legacy/backend/src/features/user/dto/update-profile.dto.ts                                   | TypeScript         |         25 |          0 |          5 |         30 |
